Wert,Zeit,Datum
0 W,11:02:53,08-09-2022
10 W,11:03:30,08-09-2022
0 W,11:03:40,08-09-2022
16 W,11:03:52,08-09-2022
20 W,11:04:11,08-09-2022
3 W,11:04:30,08-09-2022
0 W,11:04:42,08-09-2022
16 W,11:05:38,08-09-2022
0 W,11:05:54,08-09-2022
35 W,11:06:10,08-09-2022
0 W,11:06:35,08-09-2022
12 W,11:06:38,08-09-2022
0 W,11:06:57,08-09-2022
49 W,11:08:24,08-09-2022
12 W,11:08:40,08-09-2022
20 W,11:08:55,08-09-2022
34 W,11:09:08,08-09-2022
24 W,11:09:27,08-09-2022
0 W,11:09:39,08-09-2022
37 W,11:09:55,08-09-2022
164 W,11:10:11,08-09-2022
602 W,11:10:26,08-09-2022
309 W,11:10:39,08-09-2022
398 W,11:10:54,08-09-2022
308 W,11:11:13,08-09-2022
626 W,11:11:26,08-09-2022
436 W,11:11:41,08-09-2022
3317 W,11:11:54,08-09-2022
3496 W,11:12:10,08-09-2022
2408 W,11:12:31,08-09-2022
3270 W,11:12:41,08-09-2022
2011 W,11:12:53,08-09-2022
227 W,11:13:12,08-09-2022
239 W,11:13:28,08-09-2022
286 W,11:13:37,08-09-2022
39 W,11:13:56,08-09-2022
0 W,11:14:08,08-09-2022
7 W,11:14:40,08-09-2022
0 W,11:14:52,08-09-2022
4 W,11:15:55,08-09-2022
0 W,11:16:10,08-09-2022
1 W,11:16:45,08-09-2022
0 W,11:16:54,08-09-2022
11 W,11:17:29,08-09-2022
0 W,11:17:38,08-09-2022
7 W,11:18:45,08-09-2022
8 W,11:18:54,08-09-2022
69 W,11:19:10,08-09-2022
0 W,11:19:25,08-09-2022
9 W,11:19:44,08-09-2022
0 W,11:19:53,08-09-2022
2 W,11:20:40,08-09-2022
14 W,11:20:56,08-09-2022
137 W,11:21:09,08-09-2022
1158 W,11:21:30,08-09-2022
2507 W,11:21:40,08-09-2022
322 W,11:21:52,08-09-2022
2211 W,11:22:11,08-09-2022
954 W,11:22:30,08-09-2022
0 W,11:22:39,08-09-2022
69 W,11:23:26,08-09-2022
388 W,11:23:39,08-09-2022
0 W,11:23:54,08-09-2022
1242 W,11:24:10,08-09-2022
1772 W,11:25:21,08-09-2022
1781 W,11:25:28,08-09-2022
1783 W,11:25:41,08-09-2022
1749 W,11:25:53,08-09-2022
1793 W,11:26:09,08-09-2022
1801 W,11:26:31,08-09-2022
1822 W,11:26:40,08-09-2022
1850 W,11:26:53,08-09-2022
1890 W,11:27:09,08-09-2022
1920 W,11:27:30,08-09-2022
1961 W,11:27:40,08-09-2022
2031 W,11:27:55,08-09-2022
2111 W,11:28:08,08-09-2022
2203 W,11:28:24,08-09-2022
2254 W,11:28:39,08-09-2022
2351 W,11:28:55,08-09-2022
4506 W,11:29:07,08-09-2022
4576 W,11:29:26,08-09-2022
2476 W,11:29:39,08-09-2022
2595 W,11:29:54,08-09-2022
2768 W,11:30:10,08-09-2022
2792 W,11:30:22,08-09-2022
2803 W,11:30:41,08-09-2022
2981 W,11:30:54,08-09-2022
3121 W,11:31:09,08-09-2022
3288 W,11:31:25,08-09-2022
904 W,11:31:38,08-09-2022
773 W,11:31:56,08-09-2022
148 W,11:32:09,08-09-2022
96 W,11:32:24,08-09-2022
21 W,11:32:40,08-09-2022
5 W,11:32:56,08-09-2022
64 W,11:33:11,08-09-2022
273 W,11:33:30,08-09-2022
162 W,11:33:43,08-09-2022
110 W,11:33:52,08-09-2022
86 W,11:34:23,08-09-2022
157 W,11:34:39,08-09-2022
314 W,11:34:55,08-09-2022
82 W,11:35:10,08-09-2022
52 W,11:35:26,08-09-2022
17 W,11:35:38,08-09-2022
25 W,11:35:54,08-09-2022
2184 W,11:36:10,08-09-2022
75 W,11:36:25,08-09-2022
32 W,11:36:38,08-09-2022
0 W,11:37:00,08-09-2022
232 W,11:37:09,08-09-2022
0 W,11:37:31,08-09-2022
23 W,11:38:09,08-09-2022
0 W,11:38:24,08-09-2022
3 W,11:38:40,08-09-2022
0 W,11:38:56,08-09-2022
1 W,11:39:30,08-09-2022
0 W,11:39:39,08-09-2022
12 W,11:39:55,08-09-2022
0 W,11:40:11,08-09-2022
6 W,11:40:33,08-09-2022
16 W,11:40:42,08-09-2022
0 W,11:40:55,08-09-2022
51 W,11:41:23,08-09-2022
213 W,11:41:42,08-09-2022
225 W,11:41:54,08-09-2022
940 W,11:42:10,08-09-2022
269 W,11:42:28,08-09-2022
3298 W,11:42:41,08-09-2022
225 W,11:42:53,08-09-2022
155 W,11:43:09,08-09-2022
111 W,11:43:25,08-09-2022
104 W,11:43:40,08-09-2022
120 W,11:43:53,08-09-2022
149 W,11:44:09,08-09-2022
100 W,11:44:24,08-09-2022
3810 W,11:44:40,08-09-2022
1852 W,11:44:56,08-09-2022
211 W,11:45:11,08-09-2022
1580 W,11:45:24,08-09-2022
132 W,11:45:39,08-09-2022
91 W,11:45:55,08-09-2022
209 W,11:46:11,08-09-2022
200 W,11:46:23,08-09-2022
383 W,11:46:42,08-09-2022
786 W,11:46:54,08-09-2022
4458 W,11:47:10,08-09-2022
4381 W,11:47:29,08-09-2022
2759 W,11:47:38,08-09-2022
423 W,11:47:54,08-09-2022
4047 W,11:48:09,08-09-2022
1619 W,11:48:22,08-09-2022
3841 W,11:48:44,08-09-2022
217 W,11:48:53,08-09-2022
79 W,11:49:09,08-09-2022
539 W,11:49:25,08-09-2022
1302 W,11:49:40,08-09-2022
3084 W,11:49:56,08-09-2022
2863 W,11:50:08,08-09-2022
11 W,11:50:40,08-09-2022
457 W,11:50:55,08-09-2022
347 W,11:51:08,08-09-2022
617 W,11:51:23,08-09-2022
1162 W,11:51:39,08-09-2022
3416 W,11:51:55,08-09-2022
3777 W,11:52:10,08-09-2022
3899 W,11:52:29,08-09-2022
2148 W,11:52:39,08-09-2022
4046 W,11:52:54,08-09-2022
4146 W,11:53:10,08-09-2022
4283 W,11:53:22,08-09-2022
4247 W,11:53:41,08-09-2022
2325 W,11:53:54,08-09-2022
3723 W,11:54:09,08-09-2022
67 W,11:54:25,08-09-2022
43 W,11:54:37,08-09-2022
41 W,11:54:56,08-09-2022
214 W,11:55:09,08-09-2022
3673 W,11:55:28,08-09-2022
1573 W,11:55:40,08-09-2022
557 W,11:55:56,08-09-2022
1178 W,11:56:08,08-09-2022
659 W,11:56:24,08-09-2022
271 W,11:56:40,08-09-2022
101 W,11:56:53,08-09-2022
89 W,11:57:12,08-09-2022
122 W,11:57:25,08-09-2022
172 W,11:57:38,08-09-2022
392 W,11:57:56,08-09-2022
557 W,11:58:09,08-09-2022
536 W,11:58:28,08-09-2022
4397 W,11:58:37,08-09-2022
582 W,11:58:56,08-09-2022
4495 W,11:59:08,08-09-2022
3995 W,11:59:27,08-09-2022
4319 W,11:59:40,08-09-2022
2930 W,11:59:52,08-09-2022
253 W,12:00:11,08-09-2022
0 W,12:00:30,08-09-2022
1 W,12:01:29,08-09-2022
0 W,12:01:39,08-09-2022
3 W,12:01:54,08-09-2022
8 W,12:02:10,08-09-2022
12 W,12:02:25,08-09-2022
0 W,12:02:47,08-09-2022
16 W,12:02:57,08-09-2022
37 W,12:03:09,08-09-2022
0 W,12:03:22,08-09-2022
7 W,12:03:41,08-09-2022
113 W,12:03:53,08-09-2022
650 W,12:04:12,08-09-2022
0 W,12:04:31,08-09-2022
20 W,12:04:40,08-09-2022
18 W,12:04:56,08-09-2022
11 W,12:05:08,08-09-2022
15 W,12:05:27,08-09-2022
1 W,12:05:39,08-09-2022
0 W,12:05:55,08-09-2022
3 W,12:06:11,08-09-2022
0 W,12:06:23,08-09-2022
1 W,12:06:55,08-09-2022
79 W,12:07:10,08-09-2022
13 W,12:07:23,08-09-2022
1 W,12:07:41,08-09-2022
973 W,12:07:54,08-09-2022
1420 W,12:08:10,08-09-2022
152 W,12:08:22,08-09-2022
692 W,12:08:44,08-09-2022
3478 W,12:08:53,08-09-2022
2265 W,12:09:12,08-09-2022
0 W,12:09:25,08-09-2022
306 W,12:09:37,08-09-2022
3433 W,12:09:56,08-09-2022
3418 W,12:10:08,08-09-2022
3441 W,12:10:27,08-09-2022
3476 W,12:10:40,08-09-2022
3222 W,12:10:52,08-09-2022
3411 W,12:11:11,08-09-2022
3374 W,12:11:42,08-09-2022
3364 W,12:11:55,08-09-2022
2618 W,12:12:07,08-09-2022
3187 W,12:12:29,08-09-2022
3368 W,12:12:39,08-09-2022
0 W,12:12:57,08-09-2022
3259 W,12:13:29,08-09-2022
3254 W,12:13:41,08-09-2022
3331 W,12:13:54,08-09-2022
0 W,12:14:10,08-09-2022
2391 W,12:14:31,08-09-2022
1313 W,12:14:41,08-09-2022
3395 W,12:14:53,08-09-2022
3278 W,12:15:09,08-09-2022
3168 W,12:15:25,08-09-2022
3126 W,12:15:47,08-09-2022
3186 W,12:15:56,08-09-2022
3175 W,12:16:09,08-09-2022
3392 W,12:16:30,08-09-2022
628 W,12:16:40,08-09-2022
0 W,12:16:52,08-09-2022
14 W,12:17:30,08-09-2022
2 W,12:17:39,08-09-2022
2721 W,12:17:55,08-09-2022
181 W,12:18:11,08-09-2022
0 W,12:18:23,08-09-2022
3 W,12:18:42,08-09-2022
0 W,12:18:54,08-09-2022
36 W,12:19:13,08-09-2022
0 W,12:19:26,08-09-2022
3391 W,12:19:38,08-09-2022
3505 W,12:19:57,08-09-2022
3583 W,12:20:09,08-09-2022
0 W,12:20:41,08-09-2022
38 W,12:21:09,08-09-2022
1059 W,12:21:25,08-09-2022
657 W,12:21:40,08-09-2022
4145 W,12:21:56,08-09-2022
2234 W,12:22:08,08-09-2022
3989 W,12:22:27,08-09-2022
3547 W,12:22:40,08-09-2022
3733 W,12:22:52,08-09-2022
3701 W,12:23:11,08-09-2022
3758 W,12:23:24,08-09-2022
3786 W,12:23:39,08-09-2022
3795 W,12:23:55,08-09-2022
3916 W,12:24:11,08-09-2022
3941 W,12:24:23,08-09-2022
4028 W,12:24:42,08-09-2022
4106 W,12:24:54,08-09-2022
4231 W,12:25:10,08-09-2022
4368 W,12:25:26,08-09-2022
4137 W,12:25:38,08-09-2022
3618 W,12:25:54,08-09-2022
4184 W,12:26:09,08-09-2022
2354 W,12:26:25,08-09-2022
591 W,12:26:38,08-09-2022
154 W,12:26:56,08-09-2022
0 W,12:27:09,08-09-2022
185 W,12:27:28,08-09-2022
0 W,12:27:40,08-09-2022
3003 W,12:27:53,08-09-2022
2024 W,12:28:11,08-09-2022
0 W,12:28:30,08-09-2022
2 W,12:28:43,08-09-2022
1 W,12:28:55,08-09-2022
707 W,12:29:11,08-09-2022
0 W,12:29:36,08-09-2022
1123 W,12:29:48,08-09-2022
5699 W,12:29:55,08-09-2022
5747 W,12:30:07,08-09-2022
3127 W,12:30:26,08-09-2022
1166 W,12:30:38,08-09-2022
3808 W,12:30:54,08-09-2022
0 W,12:31:10,08-09-2022
2 W,12:31:25,08-09-2022
0 W,12:31:41,08-09-2022
5 W,12:31:54,08-09-2022
11 W,12:32:09,08-09-2022
0 W,12:32:28,08-09-2022
16 W,12:32:37,08-09-2022
89 W,12:32:56,08-09-2022
24 W,12:33:09,08-09-2022
0 W,12:33:24,08-09-2022
17 W,12:33:40,08-09-2022
5 W,12:33:52,08-09-2022
0 W,12:34:11,08-09-2022
6 W,12:34:24,08-09-2022
0 W,12:34:46,08-09-2022
13 W,12:34:55,08-09-2022
1544 W,12:35:07,08-09-2022
1548 W,12:35:26,08-09-2022
3431 W,12:35:48,08-09-2022
0 W,12:35:55,08-09-2022
3462 W,12:36:45,08-09-2022
0 W,12:36:54,08-09-2022
14 W,12:39:09,08-09-2022
4 W,12:39:24,08-09-2022
0 W,12:40:11,08-09-2022
6 W,12:40:40,08-09-2022
0 W,12:40:55,08-09-2022
10 W,12:41:08,08-09-2022
2 W,12:41:26,08-09-2022
1 W,12:41:39,08-09-2022
0 W,12:41:55,08-09-2022
52 W,12:42:29,08-09-2022
0 W,12:42:41,08-09-2022
5 W,12:43:25,08-09-2022
0 W,12:43:38,08-09-2022
13 W,12:44:09,08-09-2022
0 W,12:44:28,08-09-2022
13 W,12:44:40,08-09-2022
4 W,12:44:53,08-09-2022
0 W,12:45:12,08-09-2022
26 W,12:45:30,08-09-2022
0 W,12:45:40,08-09-2022
783 W,12:46:02,08-09-2022
3 W,12:46:08,08-09-2022
0 W,12:46:30,08-09-2022
309 W,12:52:39,08-09-2022
0 W,12:52:55,08-09-2022
1365 W,12:55:40,08-09-2022
1564 W,12:55:56,08-09-2022
1457 W,12:56:09,08-09-2022
1530 W,12:56:27,08-09-2022
3472 W,12:56:40,08-09-2022
3361 W,12:56:52,08-09-2022
3269 W,12:57:11,08-09-2022
3290 W,12:57:30,08-09-2022
3294 W,12:57:39,08-09-2022
3237 W,12:57:55,08-09-2022
3185 W,12:58:07,08-09-2022
3248 W,12:58:26,08-09-2022
3274 W,12:58:39,08-09-2022
1119 W,12:58:54,08-09-2022
1127 W,12:59:10,08-09-2022
1072 W,12:59:26,08-09-2022
1066 W,12:59:38,08-09-2022
1083 W,12:59:54,08-09-2022
1021 W,13:00:09,08-09-2022
1031 W,13:00:31,08-09-2022
997 W,13:00:41,08-09-2022
983 W,13:00:53,08-09-2022
987 W,13:01:12,08-09-2022
965 W,13:01:24,08-09-2022
969 W,13:01:37,08-09-2022
941 W,13:01:56,08-09-2022
935 W,13:02:08,08-09-2022
979 W,13:02:27,08-09-2022
1001 W,13:02:40,08-09-2022
1003 W,13:02:55,08-09-2022
1019 W,13:03:08,08-09-2022
1050 W,13:03:26,08-09-2022
1038 W,13:03:39,08-09-2022
2146 W,13:03:58,08-09-2022
1362 W,13:04:10,08-09-2022
0 W,13:04:29,08-09-2022
16 W,13:04:54,08-09-2022
3255 W,13:05:10,08-09-2022
3317 W,13:05:22,08-09-2022
3272 W,13:05:41,08-09-2022
3289 W,13:05:54,08-09-2022
3565 W,13:06:09,08-09-2022
1882 W,13:06:31,08-09-2022
0 W,13:06:44,08-09-2022
128 W,13:07:52,08-09-2022
0 W,13:08:11,08-09-2022
14 W,13:10:54,08-09-2022
9 W,13:11:13,08-09-2022
0 W,13:11:28,08-09-2022
11 W,13:11:38,08-09-2022
12 W,13:11:56,08-09-2022
0 W,13:12:09,08-09-2022
12 W,13:12:40,08-09-2022
0 W,13:12:53,08-09-2022
3 W,13:22:09,08-09-2022
36 W,13:22:25,08-09-2022
486 W,13:22:41,08-09-2022
3883 W,13:22:53,08-09-2022
3924 W,13:23:09,08-09-2022
3845 W,13:23:31,08-09-2022
3775 W,13:23:40,08-09-2022
3699 W,13:23:53,08-09-2022
3591 W,13:24:12,08-09-2022
4261 W,13:24:24,08-09-2022
4181 W,13:24:40,08-09-2022
4200 W,13:24:55,08-09-2022
2176 W,13:25:11,08-09-2022
3595 W,13:25:24,08-09-2022
3602 W,13:25:42,08-09-2022
3504 W,13:25:55,08-09-2022
3589 W,13:26:07,08-09-2022
2960 W,13:26:29,08-09-2022
76 W,13:26:42,08-09-2022
14 W,13:26:54,08-09-2022
21 W,13:27:10,08-09-2022
0 W,13:27:29,08-09-2022
23 W,13:27:41,08-09-2022
83 W,13:27:54,08-09-2022
19 W,13:28:09,08-09-2022
0 W,13:28:31,08-09-2022
75 W,13:28:44,08-09-2022
2516 W,13:28:56,08-09-2022
3863 W,13:29:09,08-09-2022
3811 W,13:29:24,08-09-2022
3679 W,13:29:40,08-09-2022
3586 W,13:29:53,08-09-2022
3519 W,13:30:11,08-09-2022
5757 W,13:30:24,08-09-2022
5694 W,13:30:43,08-09-2022
1566 W,13:30:55,08-09-2022
2213 W,13:31:08,08-09-2022
3647 W,13:31:27,08-09-2022
3670 W,13:31:48,08-09-2022
3787 W,13:31:55,08-09-2022
3509 W,13:32:10,08-09-2022
338 W,13:32:29,08-09-2022
3975 W,13:32:45,08-09-2022
6 W,13:32:54,08-09-2022
88 W,13:33:10,08-09-2022
0 W,13:33:32,08-09-2022
110 W,13:33:41,08-09-2022
4636 W,13:34:00,08-09-2022
3666 W,13:34:09,08-09-2022
3392 W,13:34:25,08-09-2022
3322 W,13:34:41,08-09-2022
3351 W,13:34:56,08-09-2022
3355 W,13:35:09,08-09-2022
3524 W,13:35:24,08-09-2022
3661 W,13:35:49,08-09-2022
3568 W,13:35:56,08-09-2022
3432 W,13:36:11,08-09-2022
3574 W,13:36:30,08-09-2022
3656 W,13:36:39,08-09-2022
846 W,13:36:55,08-09-2022
3496 W,13:37:11,08-09-2022
3466 W,13:37:30,08-09-2022
3424 W,13:37:39,08-09-2022
3504 W,13:37:55,08-09-2022
3511 W,13:38:10,08-09-2022
3453 W,13:38:23,08-09-2022
3333 W,13:38:41,08-09-2022
3349 W,13:38:54,08-09-2022
3404 W,13:39:10,08-09-2022
3375 W,13:39:25,08-09-2022
3359 W,13:39:41,08-09-2022
1341 W,13:39:53,08-09-2022
1396 W,13:40:09,08-09-2022
1272 W,13:40:28,08-09-2022
1399 W,13:40:37,08-09-2022
1402 W,13:40:56,08-09-2022
1347 W,13:41:09,08-09-2022
1363 W,13:41:24,08-09-2022
1278 W,13:41:40,08-09-2022
1354 W,13:41:55,08-09-2022
1389 W,13:42:08,08-09-2022
1318 W,13:42:30,08-09-2022
1548 W,13:42:39,08-09-2022
1504 W,13:42:52,08-09-2022
1430 W,13:43:11,08-09-2022
1461 W,13:43:23,08-09-2022
1506 W,13:43:39,08-09-2022
1444 W,13:43:54,08-09-2022
1573 W,13:44:10,08-09-2022
1635 W,13:44:22,08-09-2022
1619 W,13:44:41,08-09-2022
1425 W,13:44:57,08-09-2022
0 W,13:45:09,08-09-2022
508 W,13:46:31,08-09-2022
0 W,13:46:40,08-09-2022
8 W,13:46:56,08-09-2022
16 W,13:47:08,08-09-2022
0 W,13:47:24,08-09-2022
560 W,13:48:11,08-09-2022
24 W,13:48:23,08-09-2022
0 W,13:48:39,08-09-2022
17 W,13:49:10,08-09-2022
45 W,13:49:26,08-09-2022
25 W,13:49:38,08-09-2022
5 W,13:49:54,08-09-2022
0 W,13:50:10,08-09-2022
14 W,13:50:41,08-09-2022
0 W,13:50:57,08-09-2022
4 W,13:51:25,08-09-2022
0 W,13:51:37,08-09-2022
18 W,13:51:56,08-09-2022
1 W,13:52:09,08-09-2022
48 W,13:52:24,08-09-2022
0 W,13:52:40,08-09-2022
18 W,13:53:11,08-09-2022
0 W,13:53:30,08-09-2022
71 W,13:54:11,08-09-2022
3094 W,13:54:30,08-09-2022
0 W,13:54:39,08-09-2022
16 W,13:54:55,08-09-2022
11 W,13:55:10,08-09-2022
58 W,13:55:23,08-09-2022
824 W,13:55:41,08-09-2022
3738 W,13:55:54,08-09-2022
24 W,13:56:10,08-09-2022
33 W,13:56:25,08-09-2022
3671 W,13:56:41,08-09-2022
3680 W,13:56:53,08-09-2022
3676 W,13:57:09,08-09-2022
3669 W,13:57:29,08-09-2022
3711 W,13:57:41,08-09-2022
3639 W,13:57:54,08-09-2022
3547 W,13:58:09,08-09-2022
3626 W,13:58:25,08-09-2022
3609 W,13:58:38,08-09-2022
3613 W,13:58:56,08-09-2022
3702 W,13:59:09,08-09-2022
3800 W,13:59:25,08-09-2022
3675 W,13:59:40,08-09-2022
3803 W,13:59:53,08-09-2022
3814 W,14:00:12,08-09-2022
3860 W,14:00:24,08-09-2022
3958 W,14:00:40,08-09-2022
3841 W,14:00:55,08-09-2022
3923 W,14:01:08,08-09-2022
4034 W,14:01:27,08-09-2022
3926 W,14:01:39,08-09-2022
4048 W,14:01:55,08-09-2022
4117 W,14:02:10,08-09-2022
4254 W,14:02:23,08-09-2022
0 W,14:02:45,08-09-2022
3 W,14:02:54,08-09-2022
4 W,14:03:10,08-09-2022
37 W,14:03:25,08-09-2022
507 W,14:03:38,08-09-2022
3453 W,14:03:54,08-09-2022
56 W,14:04:09,08-09-2022
3026 W,14:04:25,08-09-2022
4313 W,14:04:47,08-09-2022
745 W,14:04:56,08-09-2022
3208 W,14:05:09,08-09-2022
835 W,14:05:27,08-09-2022
390 W,14:05:40,08-09-2022
4235 W,14:05:55,08-09-2022
279 W,14:06:08,08-09-2022
3682 W,14:06:24,08-09-2022
4173 W,14:06:39,08-09-2022
3484 W,14:06:55,08-09-2022
3833 W,14:07:11,08-09-2022
3756 W,14:07:26,08-09-2022
3780 W,14:07:39,08-09-2022
3669 W,14:07:54,08-09-2022
3644 W,14:08:10,08-09-2022
3624 W,14:08:29,08-09-2022
2783 W,14:08:41,08-09-2022
3525 W,14:08:54,08-09-2022
3519 W,14:09:09,08-09-2022
3523 W,14:09:25,08-09-2022
3481 W,14:09:38,08-09-2022
3534 W,14:09:56,08-09-2022
3433 W,14:10:09,08-09-2022
3401 W,14:10:28,08-09-2022
3436 W,14:10:40,08-09-2022
3521 W,14:10:53,08-09-2022
3509 W,14:11:11,08-09-2022
3478 W,14:11:24,08-09-2022
3451 W,14:11:40,08-09-2022
3492 W,14:11:55,08-09-2022
3536 W,14:12:08,08-09-2022
3432 W,14:12:26,08-09-2022
3489 W,14:12:39,08-09-2022
3667 W,14:12:58,08-09-2022
3567 W,14:13:10,08-09-2022
3551 W,14:13:23,08-09-2022
3517 W,14:13:42,08-09-2022
3575 W,14:13:54,08-09-2022
3562 W,14:14:10,08-09-2022
3513 W,14:14:25,08-09-2022
3516 W,14:14:41,08-09-2022
3526 W,14:14:53,08-09-2022
3587 W,14:15:09,08-09-2022
3560 W,14:15:25,08-09-2022
3437 W,14:15:40,08-09-2022
3449 W,14:15:56,08-09-2022
3531 W,14:16:12,08-09-2022
3448 W,14:16:24,08-09-2022
3525 W,14:16:40,08-09-2022
3594 W,14:16:55,08-09-2022
3633 W,14:17:11,08-09-2022
3696 W,14:17:24,08-09-2022
3480 W,14:17:42,08-09-2022
3791 W,14:17:55,08-09-2022
3763 W,14:18:10,08-09-2022
3929 W,14:18:23,08-09-2022
3291 W,14:18:39,08-09-2022
135 W,14:18:54,08-09-2022
69 W,14:19:10,08-09-2022
44 W,14:19:26,08-09-2022
2863 W,14:19:38,08-09-2022
4083 W,14:19:54,08-09-2022
4074 W,14:20:09,08-09-2022
4056 W,14:20:28,08-09-2022
4179 W,14:20:41,08-09-2022
4145 W,14:20:53,08-09-2022
4076 W,14:21:09,08-09-2022
4102 W,14:21:31,08-09-2022
4218 W,14:21:43,08-09-2022
4139 W,14:21:53,08-09-2022
4145 W,14:22:11,08-09-2022
4165 W,14:22:24,08-09-2022
4062 W,14:22:40,08-09-2022
4104 W,14:22:55,08-09-2022
4097 W,14:23:08,08-09-2022
565 W,14:23:26,08-09-2022
4114 W,14:23:42,08-09-2022
4195 W,14:23:55,08-09-2022
3383 W,14:24:10,08-09-2022
4421 W,14:24:23,08-09-2022
4146 W,14:24:42,08-09-2022
4556 W,14:24:54,08-09-2022
0 W,14:25:10,08-09-2022
4 W,14:25:25,08-09-2022
0 W,14:25:44,08-09-2022
17 W,14:25:54,08-09-2022
107 W,14:26:12,08-09-2022
89 W,14:26:25,08-09-2022
10 W,14:26:37,08-09-2022
23 W,14:26:56,08-09-2022
570 W,14:27:09,08-09-2022
4624 W,14:27:31,08-09-2022
4737 W,14:27:40,08-09-2022
4083 W,14:27:52,08-09-2022
4713 W,14:28:11,08-09-2022
4506 W,14:28:30,08-09-2022
3380 W,14:28:43,08-09-2022
2330 W,14:28:55,08-09-2022
4751 W,14:29:08,08-09-2022
740 W,14:29:26,08-09-2022
82 W,14:29:39,08-09-2022
0 W,14:29:54,08-09-2022
16 W,14:30:10,08-09-2022
0 W,14:30:29,08-09-2022
835 W,14:30:54,08-09-2022
792 W,14:31:10,08-09-2022
0 W,14:31:28,08-09-2022
4 W,14:31:38,08-09-2022
0 W,14:31:56,08-09-2022
18 W,14:32:09,08-09-2022
0 W,14:32:34,08-09-2022
30 W,14:32:40,08-09-2022
50 W,14:32:53,08-09-2022
0 W,14:33:12,08-09-2022
18 W,14:33:24,08-09-2022
0 W,14:33:40,08-09-2022
115 W,14:33:52,08-09-2022
31 W,14:34:11,08-09-2022
853 W,14:34:24,08-09-2022
349 W,14:34:42,08-09-2022
0 W,14:34:55,08-09-2022
57 W,14:35:07,08-09-2022
597 W,14:35:26,08-09-2022
0 W,14:35:48,08-09-2022
53 W,14:35:54,08-09-2022
0 W,14:36:10,08-09-2022
7 W,14:37:10,08-09-2022
239 W,14:37:31,08-09-2022
228 W,14:37:41,08-09-2022
236 W,14:37:53,08-09-2022
205 W,14:38:09,08-09-2022
0 W,14:38:31,08-09-2022
64 W,14:38:56,08-09-2022
15 W,14:39:08,08-09-2022
0 W,14:39:24,08-09-2022
2 W,14:39:40,08-09-2022
0 W,14:39:56,08-09-2022
34 W,14:41:55,08-09-2022
0 W,14:42:07,08-09-2022
60 W,14:42:39,08-09-2022
4482 W,14:42:54,08-09-2022
6028 W,14:43:10,08-09-2022
5692 W,14:43:22,08-09-2022
6163 W,14:43:44,08-09-2022
6169 W,14:43:54,08-09-2022
6151 W,14:44:09,08-09-2022
6153 W,14:44:25,08-09-2022
1738 W,14:44:40,08-09-2022
1144 W,14:44:53,08-09-2022
1322 W,14:45:12,08-09-2022
1083 W,14:45:24,08-09-2022
1173 W,14:45:40,08-09-2022
1677 W,14:45:52,08-09-2022
1424 W,14:46:11,08-09-2022
1213 W,14:46:24,08-09-2022
1193 W,14:46:39,08-09-2022
514 W,14:46:55,08-09-2022
678 W,14:47:11,08-09-2022
770 W,14:47:29,08-09-2022
3169 W,14:47:39,08-09-2022
4492 W,14:47:54,08-09-2022
1566 W,14:48:10,08-09-2022
3781 W,14:48:26,08-09-2022
344 W,14:48:38,08-09-2022
0 W,14:48:57,08-09-2022
989 W,14:49:41,08-09-2022
229 W,14:49:53,08-09-2022
4486 W,14:50:09,08-09-2022
4078 W,14:50:46,08-09-2022
339 W,14:50:56,08-09-2022
1042 W,14:51:08,08-09-2022
5739 W,14:51:24,08-09-2022
4102 W,14:51:43,08-09-2022
4061 W,14:51:52,08-09-2022
1243 W,14:52:11,08-09-2022
4569 W,14:52:30,08-09-2022
4031 W,14:52:39,08-09-2022
3994 W,14:52:55,08-09-2022
3818 W,14:53:07,08-09-2022
3789 W,14:53:29,08-09-2022
3802 W,14:53:38,08-09-2022
3934 W,14:53:54,08-09-2022
3901 W,14:54:10,08-09-2022
3903 W,14:54:32,08-09-2022
3840 W,14:54:41,08-09-2022
1068 W,14:54:57,08-09-2022
631 W,14:55:09,08-09-2022
520 W,14:55:25,08-09-2022
3565 W,14:55:40,08-09-2022
2847 W,14:55:56,08-09-2022
1916 W,14:56:09,08-09-2022
2801 W,14:56:31,08-09-2022
3760 W,14:56:40,08-09-2022
3775 W,14:56:52,08-09-2022
3534 W,14:57:11,08-09-2022
3656 W,14:57:30,08-09-2022
3612 W,14:57:39,08-09-2022
3726 W,14:57:55,08-09-2022
3671 W,14:58:08,08-09-2022
3755 W,14:58:26,08-09-2022
3840 W,14:58:39,08-09-2022
3854 W,14:58:58,08-09-2022
2484 W,14:59:10,08-09-2022
0 W,14:59:23,08-09-2022
1031 W,14:59:38,08-09-2022
1120 W,14:59:54,08-09-2022
1834 W,15:00:10,08-09-2022
1301 W,15:00:22,08-09-2022
1043 W,15:00:41,08-09-2022
4257 W,15:00:53,08-09-2022
4140 W,15:01:09,08-09-2022
1838 W,15:01:31,08-09-2022
2795 W,15:01:40,08-09-2022
171 W,15:01:56,08-09-2022
6 W,15:02:09,08-09-2022
1 W,15:02:27,08-09-2022
327 W,15:02:40,08-09-2022
2 W,15:02:56,08-09-2022
21 W,15:03:08,08-09-2022
17 W,15:03:30,08-09-2022
16 W,15:03:39,08-09-2022
158 W,15:03:55,08-09-2022
411 W,15:04:11,08-09-2022
317 W,15:04:23,08-09-2022
3533 W,15:04:42,08-09-2022
1297 W,15:04:54,08-09-2022
